hour,day_of_week,weather,temperature,traffic_volume
2,4,Clear,26,254
14,6,Rain,26,566
10,3,Clear,39,498
13,6,Fog,22,231
8,3,Rain,29,1027
18,4,Clear,31,966
7,1,Clear,23,837
17,6,Clear,39,681
23,5,Rain,21,475
20,5,Fog,30,382
13,2,Rain,39,626
1,5,Rain,36,203
23,3,Fog,29,303
4,0,Fog,38,543
15,1,Fog,29,425
3,1,Rain,26,409
22,3,Clear,36,385
15,5,Clear,36,212
17,0,Clear,25,716
0,5,Fog,37,283
10,3,Clear,26,330
12,0,Fog,20,339
1,2,Rain,30,320
13,2,Clear,35,210
23,6,Fog,33,446
18,2,Rain,39,1018
17,5,Rain,31,917
9,0,Clear,30,925
1,4,Rain,22,588
4,6,Fog,38,284
11,4,Fog,23,484
8,6,Clear,23,782
19,2,Clear,20,848
2,1,Fog,37,553
21,2,Fog,30,455
13,0,Clear,31,460
3,5,Rain,30,281
15,5,Clear,37,152
1,0,Fog,35,354
12,6,Fog,20,367
5,1,Clear,27,399
7,5,Clear,23,586
14,5,Fog,34,538
6,1,Clear,24,315
18,5,Fog,36,787
23,0,Fog,24,332
13,2,Clear,36,466
6,4,Clear,21,431
5,6,Clear,24,336
19,4,Rain,24,781
14,3,Fog,26,343
18,3,Rain,24,1070
11,1,Rain,29,574
0,5,Fog,21,263
3,0,Rain,35,640
8,2,Rain,29,1093
16,0,Rain,36,678
21,4,Clear,37,426
5,3,Rain,22,575
5,4,Fog,22,573
19,6,Fog,26,840
12,3,Clear,37,384
14,3,Rain,33,415
1,2,Rain,38,430
21,3,Clear,30,471
1,6,Rain,27,319
13,5,Rain,34,452
12,5,Clear,27,280
17,1,Clear,37,782
15,5,Clear,36,222
18,6,Clear,31,901
12,3,Clear,21,423
7,1,Clear,22,805
3,6,Rain,29,535
9,5,Clear,22,870
10,4,Clear,30,330
12,6,Fog,34,367
3,4,Rain,34,632
13,6,Fog,23,253
9,6,Clear,35,551
12,3,Clear,34,368
20,2,Fog,25,487
21,3,Fog,39,325
7,0,Fog,30,931
13,5,Rain,28,541
23,4,Fog,33,483
5,1,Rain,38,592
10,3,Clear,36,495
0,2,Rain,35,652
21,1,Clear,37,251
23,5,Rain,27,530
22,0,Fog,36,534
8,6,Clear,26,834
7,1,Clear,26,798
16,5,Rain,28,377
3,3,Rain,36,374
21,0,Rain,24,541
2,4,Fog,25,389
13,1,Rain,22,432
20,6,Clear,29,238
13,3,Fog,35,346
8,3,Rain,28,825
15,5,Clear,37,126
20,5,Clear,26,123
18,0,Clear,20,837
9,2,Fog,24,686
7,0,Fog,30,975
16,6,Fog,32,167
15,6,Fog,34,401
20,0,Rain,23,611
22,4,Fog,22,350
15,6,Rain,21,293
12,1,Clear,38,497
1,3,Fog,26,422
10,3,Clear,21,209
6,3,Fog,24,466
6,1,Rain,23,635
12,1,Fog,33,469
20,1,Clear,22,377
11,4,Clear,26,278
14,0,Fog,30,401
18,3,Rain,34,934
13,3,Rain,35,565
17,5,Fog,21,730
12,5,Clear,24,149
19,1,Rain,24,863
10,0,Fog,35,361
22,3,Clear,30,431
2,3,Rain,24,425
22,3,Clear,39,307
3,3,Fog,27,418
19,6,Fog,29,865
17,6,Rain,27,1039
11,6,Rain,33,370
9,0,Rain,31,818
21,4,Rain,27,611
0,3,Fog,28,329
16,0,Rain,25,577
14,4,Clear,30,244
7,6,Fog,29,575
20,3,Clear,23,397
0,4,Fog,37,335
1,1,Clear,34,253
21,2,Rain,21,523
19,5,Fog,24,876
9,3,Rain,36,1024
1,3,Clear,35,282
12,2,Clear,24,360
19,1,Fog,29,908
21,3,Rain,25,354
21,5,Clear,23,77
11,5,Fog,35,495
21,2,Fog,31,366
10,6,Clear,24,264
9,1,Fog,23,952
22,5,Clear,38,328
0,6,Rain,20,320
0,4,Rain,28,548
22,4,Fog,21,466
20,0,Clear,23,324
11,0,Rain,29,433
10,2,Rain,35,657
6,4,Rain,32,379
9,6,Clear,33,722
4,3,Fog,32,457
4,2,Fog,22,337
7,6,Rain,32,798
2,2,Rain,32,524
10,2,Clear,28,316
12,1,Fog,24,382
13,6,Rain,34,505
11,4,Fog,34,314
19,1,Rain,25,844
23,0,Rain,36,503
20,5,Rain,22,566
23,4,Clear,27,468
14,0,Fog,38,368
13,1,Fog,38,312
21,5,Clear,31,298
0,0,Fog,26,525
4,6,Fog,29,395
20,0,Clear,25,264
6,3,Clear,33,320
14,5,Rain,33,346
3,1,Clear,22,462
20,6,Clear,20,324
17,5,Fog,29,588
2,5,Clear,28,161
2,5,Clear,28,245
13,4,Fog,24,306
12,3,Clear,34,394
10,4,Fog,26,440
11,6,Fog,38,413
16,3,Fog,33,458
12,3,Clear,31,371
13,3,Fog,27,546
23,4,Rain,27,419
12,1,Rain,32,384
1,2,Fog,31,317
20,0,Clear,22,386
19,6,Clear,27,730
23,6,Clear,26,262
11,6,Rain,23,460
12,4,Rain,21,662
4,1,Rain,21,506
11,0,Fog,27,528
23,6,Clear,34,168
22,5,Clear,33,420
5,4,Rain,32,526
11,3,Fog,36,372
4,0,Clear,29,460
11,0,Rain,28,402
4,5,Clear,30,199
3,3,Clear,26,303
14,2,Fog,25,404
12,2,Rain,28,555
16,1,Fog,37,359
16,4,Clear,21,334
20,3,Rain,37,644
23,6,Clear,30,111
22,3,Fog,33,336
4,2,Clear,26,262
15,3,Rain,21,406
17,4,Rain,38,866
3,6,Clear,39,119
0,0,Fog,36,572
18,1,Fog,20,834
1,2,Fog,33,586
19,6,Rain,29,1016
22,0,Clear,28,312
12,3,Rain,25,502
2,0,Clear,22,412
14,2,Clear,31,361
14,2,Fog,21,374
16,1,Rain,37,432
9,5,Fog,31,865
11,6,Clear,39,137
20,4,Clear,32,344
14,4,Clear,27,459
2,0,Rain,24,585
5,2,Rain,32,451
5,6,Rain,37,469
14,0,Clear,25,364
3,1,Rain,33,540
23,1,Fog,23,402
13,5,Rain,33,259
8,0,Fog,22,809
8,3,Clear,26,881
5,6,Rain,37,598
13,5,Rain,27,379
14,5,Rain,21,457
19,5,Fog,25,813
16,2,Fog,38,260
0,3,Fog,23,364
4,6,Rain,35,311
4,1,Fog,38,541
0,1,Fog,29,370
11,1,Rain,33,427
14,5,Fog,29,260
17,3,Fog,24,742
3,1,Clear,32,381
7,3,Fog,39,759
20,3,Rain,32,592
11,5,Clear,21,349
23,5,Clear,37,271
16,1,Clear,23,341
17,1,Rain,35,933
19,3,Rain,21,963
23,5,Fog,25,240
12,0,Clear,30,488
1,6,Fog,24,345
9,1,Clear,39,770
16,6,Fog,33,364
23,1,Clear,22,465
6,6,Clear,29,363
20,0,Fog,27,333
16,0,Clear,29,239
5,3,Fog,38,531
13,4,Clear,21,465
17,0,Rain,35,1013
1,1,Fog,31,422
6,5,Rain,36,216
2,3,Fog,30,473
12,6,Rain,30,481
8,5,Clear,31,739
13,5,Fog,22,187
3,3,Fog,35,337
0,0,Fog,38,426
5,4,Rain,23,515
14,3,Rain,34,315
19,4,Rain,22,998
21,3,Clear,34,357
17,4,Clear,22,890
12,3,Fog,34,560
1,1,Clear,38,271
21,5,Rain,36,494
11,1,Rain,34,360
11,5,Clear,20,236
21,5,Rain,29,435
7,2,Rain,35,903
12,2,Clear,23,498
10,3,Fog,27,333
2,5,Rain,26,275
9,2,Rain,24,1080
9,2,Clear,35,989
3,1,Clear,33,220
0,6,Rain,21,469
16,2,Rain,23,339
5,6,Rain,28,307
16,4,Fog,26,572
5,3,Fog,35,411
12,6,Fog,31,375
18,4,Fog,25,1056
7,5,Rain,28,765
10,4,Fog,34,381
11,1,Clear,34,256
10,5,Rain,33,419
13,1,Clear,24,401
19,5,Fog,27,618
17,2,Clear,28,864
10,1,Clear,30,487
13,5,Rain,33,163
20,4,Fog,31,336
1,3,Fog,26,366
14,1,Rain,38,627
13,2,Fog,24,322
10,2,Clear,26,445
9,5,Rain,35,859
16,5,Clear,29,233
23,6,Fog,37,286
0,0,Rain,20,661
5,1,Fog,22,411
14,0,Fog,20,476
11,0,Fog,30,370
9,1,Rain,35,798
4,1,Rain,37,512
1,3,Fog,27,453
20,0,Clear,32,330
9,1,Fog,29,843
14,2,Fog,28,328
6,5,Rain,37,233
1,2,Rain,37,361
14,1,Clear,31,232
14,5,Rain,24,447
9,6,Fog,38,572
7,2,Clear,34,639
0,3,Fog,25,401
6,3,Rain,36,499
17,4,Rain,22,1066
4,6,Rain,26,494
3,1,Fog,28,330
4,5,Rain,36,331
20,0,Fog,39,580
16,3,Rain,30,435
9,5,Fog,30,1038
9,0,Clear,25,789
4,4,Clear,34,401
11,6,Clear,22,380
21,3,Fog,32,381
23,4,Fog,26,558
8,2,Fog,29,1098
20,5,Fog,23,509
23,6,Rain,35,354
8,1,Fog,20,907
6,1,Clear,26,404
17,2,Rain,26,1109
14,0,Fog,25,543
6,3,Fog,28,503
21,3,Rain,24,547
7,3,Fog,25,1053
22,2,Clear,20,483
19,3,Clear,28,921
17,6,Rain,28,969
14,4,Fog,37,366
18,4,Clear,31,642
6,3,Rain,34,467
5,1,Rain,28,431
0,4,Fog,37,289
16,5,Clear,29,163
23,0,Clear,38,457
10,6,Fog,38,259
17,6,Clear,39,765
21,0,Fog,21,558
2,0,Rain,24,574
14,1,Clear,26,375
17,1,Rain,37,857
11,1,Fog,29,332
15,4,Clear,35,243
10,5,Clear,35,204
7,1,Rain,25,900
2,6,Fog,24,369
19,4,Fog,23,722
19,6,Fog,26,537
0,4,Clear,34,421
15,4,Fog,27,403
6,3,Rain,28,562
9,0,Fog,33,997
14,0,Rain,20,545
22,4,Fog,28,289
8,6,Fog,20,789
16,5,Fog,30,362
22,4,Rain,21,527
1,6,Rain,30,461
12,2,Rain,38,338
16,6,Rain,31,575
15,2,Clear,32,267
9,4,Clear,24,739
21,5,Fog,34,446
12,3,Clear,32,250
9,1,Fog,25,858
23,2,Fog,39,495
4,4,Clear,38,386
5,1,Clear,37,415
7,4,Rain,26,913
12,4,Rain,37,541
23,3,Rain,33,566
0,5,Fog,35,242
13,3,Clear,29,379
2,3,Fog,30,489
9,6,Rain,23,920
11,4,Clear,36,270
22,5,Clear,32,292
14,1,Rain,21,545
21,2,Clear,31,227
4,6,Rain,26,320
4,5,Clear,23,312
19,4,Clear,36,767
4,3,Fog,36,553
19,2,Fog,34,1076
16,2,Fog,25,474
13,1,Clear,35,228
15,3,Clear,27,424
20,6,Clear,25,157
18,1,Rain,36,1147
6,1,Clear,28,261
13,2,Clear,37,373
10,5,Clear,29,370
9,6,Fog,31,783
17,3,Clear,24,676
0,2,Clear,37,384
16,5,Clear,26,280
22,4,Clear,34,345
14,2,Rain,28,574
20,6,Clear,22,251
9,3,Fog,30,851
3,6,Clear,37,314
21,0,Rain,37,682
22,1,Rain,29,554
23,4,Fog,33,392
5,0,Rain,34,486
19,0,Fog,33,1111
15,2,Fog,25,558
0,4,Rain,27,636
5,6,Fog,37,341
10,2,Fog,20,418
9,0,Clear,30,993
18,2,Clear,39,828
13,0,Rain,30,587
0,0,Rain,24,365
7,2,Fog,39,985
21,0,Rain,21,602
16,0,Clear,20,339
2,4,Fog,33,360
15,1,Rain,33,398
4,5,Clear,30,99
16,2,Fog,21,572
11,4,Rain,27,440
6,1,Rain,31,541
15,4,Clear,39,438
14,5,Fog,20,333
4,1,Clear,28,434
17,3,Fog,37,717
12,3,Clear,35,438
10,0,Clear,26,498
19,4,Clear,22,966
21,3,Clear,22,441
1,5,Clear,39,380
12,1,Rain,38,566
23,2,Clear,22,352
6,0,Fog,23,287
16,2,Fog,25,430
19,1,Rain,22,884
17,3,Clear,31,700
8,3,Rain,36,930
17,2,Clear,32,674
20,1,Fog,27,335
16,1,Fog,22,358
23,6,Clear,34,144
5,2,Fog,26,470
7,1,Rain,29,723
16,3,Fog,31,405
14,4,Fog,26,321
7,5,Clear,39,494
10,2,Rain,32,599
19,5,Clear,27,785
3,6,Fog,34,243
15,3,Rain,33,314
8,6,Rain,26,963
19,0,Rain,24,800
3,4,Clear,38,252
7,5,Rain,34,1043
6,2,Rain,37,564
23,4,Clear,22,382
22,6,Rain,33,344
5,6,Fog,30,176
2,4,Fog,34,465
6,5,Rain,21,478
22,1,Rain,37,535
2,0,Fog,22,266
13,0,Rain,26,449
23,0,Clear,37,375
7,0,Fog,26,962
13,6,Fog,39,386
17,2,Clear,20,731
4,4,Clear,21,263
9,6,Clear,28,752
16,3,Rain,38,566
15,1,Rain,37,398
11,0,Clear,30,341
10,4,Rain,30,518
9,5,Clear,26,574
5,4,Clear,31,443
17,1,Fog,36,823
19,1,Clear,30,750
10,5,Clear,32,129
20,1,Clear,37,266
1,1,Rain,26,569
9,5,Clear,20,844
13,0,Fog,22,473
17,1,Fog,37,933
9,5,Fog,28,595
8,2,Rain,22,1089
21,2,Rain,30,670
8,1,Clear,23,841
7,2,Fog,29,696
10,4,Fog,33,513
6,4,Rain,28,492
8,0,Rain,28,896
23,3,Clear,20,431
14,2,Clear,30,230
19,1,Fog,37,801
18,4,Rain,34,1186
11,5,Clear,20,193
9,6,Fog,27,692
2,1,Clear,21,408
4,3,Fog,28,350
23,4,Clear,28,392
2,6,Fog,28,220
10,2,Clear,36,475
22,1,Rain,27,355
0,4,Rain,39,343
20,5,Fog,24,259
4,3,Rain,31,678
11,6,Clear,34,113
16,0,Fog,29,516
16,4,Clear,33,253
18,6,Clear,34,567
3,6,Clear,32,391
4,1,Clear,34,346
5,5,Rain,28,385
7,1,Rain,21,996
3,6,Rain,24,289
19,5,Fog,34,679
1,6,Rain,39,367
1,1,Clear,26,427
22,0,Clear,26,348
23,1,Fog,26,481
4,2,Fog,24,440
18,3,Rain,38,917
3,5,Fog,25,199
22,5,Fog,27,277
15,4,Clear,24,201
13,0,Rain,27,452
7,5,Clear,25,756
20,1,Rain,35,512
10,3,Fog,31,537
14,6,Clear,22,233
10,5,Clear,32,200
13,6,Fog,23,214
10,0,Fog,25,533
2,5,Clear,23,409
2,4,Fog,32,334
6,6,Fog,38,393
16,1,Clear,32,484
9,4,Clear,32,628
7,2,Rain,28,713
10,5,Clear,21,172
10,4,Clear,24,415
21,4,Clear,22,200
22,6,Clear,23,121
14,3,Clear,34,242
3,6,Clear,29,293
14,3,Fog,27,506
2,2,Rain,21,618
10,1,Clear,27,374
5,5,Clear,29,322
19,4,Clear,22,825
22,5,Rain,28,412
0,4,Clear,21,476
17,3,Fog,27,1010
4,2,Fog,35,293
20,5,Clear,36,103
19,5,Rain,34,833
17,2,Rain,25,1182
22,3,Rain,37,513
6,0,Fog,31,511
19,1,Rain,20,1054
19,4,Clear,27,777
19,1,Fog,26,777
22,2,Rain,32,343
18,1,Rain,23,1105
16,2,Clear,23,468
12,3,Rain,25,347
2,4,Fog,35,372
23,5,Fog,25,457
17,6,Rain,23,962
23,4,Clear,28,351
14,4,Rain,30,521
7,6,Clear,34,802
12,5,Fog,28,399
0,1,Clear,30,484
17,0,Rain,21,789
5,3,Clear,24,472
23,6,Clear,32,328
8,2,Rain,34,756
11,6,Clear,20,393
5,4,Clear,22,247
11,5,Fog,20,341
15,4,Clear,23,270
18,3,Clear,39,665
10,3,Clear,30,314
9,3,Rain,26,864
15,0,Fog,24,438
7,5,Clear,30,988
11,0,Fog,27,426
14,4,Rain,32,591
10,0,Clear,21,402
5,6,Fog,32,270
16,4,Fog,37,483
16,2,Rain,33,564
5,2,Fog,26,340
13,2,Fog,28,373
2,6,Fog,22,334
13,3,Rain,26,375
20,5,Fog,25,298
5,3,Rain,29,486
23,0,Rain,25,476
6,0,Clear,32,287
19,3,Clear,26,897
0,4,Clear,24,473
14,0,Clear,24,349
20,5,Fog,30,200
2,4,Clear,29,363
10,0,Fog,35,581
4,5,Clear,23,340
18,2,Clear,20,929
22,4,Clear,23,380
19,2,Fog,23,913
16,2,Fog,25,324
0,5,Rain,33,450
12,2,Fog,38,280
7,3,Clear,31,882
4,0,Rain,21,493
17,5,Fog,21,942
3,3,Clear,36,283
3,2,Clear,27,385
10,6,Clear,28,105
13,1,Fog,34,449
4,4,Rain,27,438
21,6,Rain,37,446
12,4,Fog,27,526
12,3,Clear,33,430
3,0,Clear,36,396
4,4,Rain,22,339
7,3,Clear,39,617
16,3,Clear,29,429
18,5,Rain,35,787
19,6,Rain,29,873
6,6,Clear,23,218
23,3,Clear,27,386
11,0,Rain,39,427
6,5,Fog,36,341
9,4,Clear,37,766
20,2,Fog,24,539
12,0,Rain,21,381
13,0,Rain,33,455
2,2,Clear,32,222
4,3,Fog,21,325
3,0,Clear,33,266
1,6,Rain,33,449
20,5,Rain,25,542
23,6,Clear,20,76
0,4,Rain,36,615
23,5,Rain,32,223
9,6,Rain,39,1082
22,6,Clear,29,220
0,5,Rain,22,302
5,1,Rain,39,551
13,5,Fog,32,371
10,0,Clear,37,234
18,1,Rain,39,872
10,2,Rain,28,418
16,0,Rain,31,412
18,5,Rain,30,770
8,1,Rain,35,1021
22,4,Rain,39,442
23,0,Fog,27,278
19,1,Fog,23,678
0,3,Clear,33,478
12,5,Fog,39,274
14,6,Fog,31,204
5,5,Fog,31,365
8,5,Clear,26,666
15,1,Clear,33,342
4,3,Clear,23,277
7,2,Clear,22,878
5,3,Clear,30,304
0,1,Clear,32,457
1,4,Fog,33,313
8,4,Rain,39,939
10,0,Clear,33,302
11,4,Fog,25,587
0,2,Fog,25,563
15,3,Clear,37,301
7,0,Clear,29,665
12,2,Fog,37,561
19,2,Rain,33,1025
23,6,Fog,21,314
23,5,Rain,25,332
7,1,Clear,34,778
6,2,Clear,35,470
4,5,Fog,34,422
23,5,Clear,33,298
18,6,Rain,34,802
16,1,Rain,39,628
21,6,Clear,23,295
4,3,Fog,32,440
1,0,Clear,34,296
8,4,Rain,20,786
13,1,Rain,35,444
10,0,Clear,28,258
13,5,Rain,39,431
15,6,Clear,37,346
21,2,Fog,37,556
10,2,Fog,22,546
7,0,Clear,35,825
4,4,Fog,28,457
3,6,Fog,39,150
18,2,Fog,30,1066
5,1,Rain,33,574
16,3,Rain,39,356
3,1,Fog,32,347
18,4,Fog,34,938
13,0,Fog,33,299
7,5,Clear,29,684
19,3,Fog,22,921
14,6,Rain,36,453
22,1,Rain,24,354
9,2,Fog,31,824
21,0,Fog,29,477
11,0,Rain,31,377
8,4,Fog,34,892
19,2,Clear,39,673
9,1,Clear,34,783
14,1,Rain,24,575
0,1,Fog,33,359
10,0,Rain,36,379
6,3,Rain,39,574
0,5,Clear,37,386
17,6,Fog,37,790
3,1,Clear,35,231
6,6,Clear,21,337
16,1,Clear,35,386
6,6,Fog,28,423
11,6,Rain,38,203
15,0,Rain,36,548
7,6,Fog,27,918
23,5,Clear,33,430
22,6,Fog,25,260
20,5,Clear,31,203
5,1,Fog,37,382
22,6,Rain,28,504
17,0,Fog,23,995
3,1,Rain,29,677
2,1,Fog,34,375
1,6,Rain,21,387
23,1,Rain,32,355
9,5,Rain,38,906
2,2,Clear,28,226
14,0,Clear,24,280
5,0,Fog,28,375
8,5,Fog,22,575
6,6,Clear,32,321
18,4,Clear,31,989
22,6,Clear,23,189
15,0,Rain,22,365
19,4,Clear,26,1033
0,6,Rain,31,308
10,0,Rain,29,386
0,6,Rain,27,465
3,0,Rain,27,608
23,0,Clear,36,234
13,5,Fog,26,328
4,5,Rain,25,308
7,2,Fog,37,959
1,1,Fog,33,353
5,5,Fog,38,244
4,0,Clear,26,469
15,1,Clear,39,354
20,1,Rain,21,384
1,2,Fog,26,517
15,3,Rain,32,389
5,0,Fog,38,539
19,2,Fog,25,925
5,3,Clear,37,231
2,4,Fog,24,388
19,4,Clear,35,670
6,0,Rain,31,353
1,3,Fog,36,370
2,2,Fog,28,469
4,1,Fog,31,299
15,4,Clear,23,292
9,5,Fog,29,657
4,4,Clear,20,245
17,0,Fog,35,974
21,3,Fog,36,546
14,5,Clear,28,197
11,1,Clear,24,364
2,0,Clear,39,332
20,6,Clear,31,384
9,3,Rain,31,867
11,5,Rain,37,374
2,0,Clear,35,317
12,3,Rain,30,480
11,0,Rain,25,424
14,6,Fog,37,353
12,4,Clear,25,215
4,6,Fog,21,175
15,5,Rain,26,406
20,6,Clear,24,214
21,4,Clear,29,472
20,3,Clear,32,406
4,3,Fog,37,420
2,2,Clear,34,231
16,1,Rain,34,527
0,2,Rain,25,401
7,0,Rain,21,825
20,6,Rain,33,455
18,2,Rain,24,998
18,1,Rain,28,870
9,6,Rain,26,1043
23,4,Clear,27,255
13,0,Clear,26,470
9,5,Rain,23,953
7,3,Rain,20,820
5,3,Rain,22,593
7,6,Rain,26,910
14,4,Clear,39,425
2,5,Rain,23,349
4,2,Clear,36,229
1,6,Fog,30,443
21,5,Clear,36,157
19,1,Fog,20,946
5,2,Rain,30,630
7,0,Clear,38,935
17,3,Rain,34,1149
17,2,Fog,37,805
15,6,Fog,39,383
7,5,Clear,23,615
12,5,Clear,30,63
22,0,Clear,38,494
3,6,Fog,33,194
5,4,Rain,26,429
13,0,Clear,25,204
18,6,Clear,20,753
12,2,Clear,34,357
4,6,Rain,26,378
8,1,Fog,35,1056
22,3,Clear,29,403
13,5,Fog,22,323
1,1,Fog,31,549
14,0,Clear,30,286
17,0,Clear,27,630
19,2,Fog,20,1021
13,2,Clear,23,221
21,3,Clear,27,465
16,0,Fog,37,493
7,6,Clear,21,799
12,6,Rain,20,346
21,5,Clear,30,87
23,1,Fog,36,364
11,4,Rain,21,635
21,4,Clear,35,288
3,2,Fog,30,597
1,5,Rain,23,362
2,2,Fog,38,388
10,6,Fog,39,330
14,3,Clear,27,478
13,1,Fog,39,309
1,0,Rain,27,392
23,1,Clear,22,294
13,4,Rain,35,418
21,5,Clear,29,214
17,3,Fog,21,794
4,0,Rain,34,335
10,4,Fog,37,442
5,4,Clear,20,230
5,3,Clear,20,367
16,2,Rain,28,471
12,2,Fog,22,451
16,5,Rain,28,355
18,2,Fog,22,625
19,6,Fog,30,990
14,5,Clear,27,381
9,2,Fog,38,625
14,2,Clear,39,263
9,5,Rain,35,865
7,1,Rain,36,932
17,5,Fog,37,593
5,3,Rain,25,627
21,4,Clear,29,343
13,1,Clear,36,358
17,0,Fog,25,865
20,1,Fog,37,413
17,2,Rain,20,672
13,3,Rain,22,371
10,3,Fog,26,307
13,6,Fog,25,318
2,5,Clear,29,124
18,2,Fog,39,956
12,2,Rain,20,615
7,0,Clear,35,838
0,6,Clear,31,222
17,5,Clear,37,681
13,2,Clear,32,430
10,1,Rain,28,436
10,1,Fog,31,310
3,4,Fog,27,398
5,2,Clear,28,248
12,5,Fog,35,286
21,1,Rain,20,611
0,3,Rain,33,484
19,3,Clear,36,620
20,5,Fog,23,171
20,1,Clear,20,464
22,2,Rain,29,631
21,4,Clear,28,226
11,2,Clear,29,454
18,1,Fog,35,766
8,5,Rain,22,764
7,4,Fog,33,859
21,0,Rain,35,600
8,3,Clear,23,752
10,3,Fog,22,272
4,4,Fog,36,587
19,2,Rain,31,747
8,6,Clear,21,648
8,4,Fog,27,971
14,0,Fog,24,374
2,6,Rain,36,457
12,6,Fog,20,414
0,6,Clear,26,224
16,4,Fog,23,507
18,4,Clear,26,656
12,1,Rain,21,669
8,0,Rain,33,817
18,4,Fog,23,912
8,0,Fog,39,739
7,4,Rain,27,1170
3,6,Clear,28,340
3,5,Rain,24,551
20,3,Rain,36,438
1,0,Clear,39,392
8,6,Clear,33,594
0,2,Clear,36,402
11,5,Clear,35,127
17,6,Fog,24,759
8,6,Clear,28,735
23,5,Fog,33,458
10,6,Clear,29,363
21,2,Clear,31,425
18,4,Fog,34,791
3,5,Clear,34,182
13,6,Clear,21,103
10,0,Clear,39,498
23,5,Clear,22,230
0,5,Rain,28,326
18,1,Rain,30,1013
22,6,Fog,22,183
8,6,Fog,36,784
23,6,Clear,28,288
20,5,Fog,24,193
0,0,Clear,36,414
22,2,Rain,29,550
11,6,Fog,20,367
18,3,Clear,22,592
4,1,Clear,34,357
14,3,Fog,20,444
12,4,Clear,37,265
16,2,Clear,34,370
9,0,Clear,26,918
15,5,Fog,24,280
10,1,Clear,35,326
5,0,Rain,28,539
20,4,Fog,39,482
15,2,Clear,30,405
15,6,Clear,35,385
16,1,Fog,21,473
